"DATUM","IME_PRAZNIKA","DAN_V_TEDNU","DELA_PROST_DAN","DAN","MESEC","LETO"
"1.01.2012","novo leto","nedelja","da","1","1","2012"
"2.01.2012","novo leto","ponedeljek","da","2","1","2012"
"8.02.2012","Prešernov dan, slovenski kulturni praznik","sreda","da","8","2","2012"
"8.04.2012","velika noč","nedelja","da","8","4","2012"
"9.04.2012","velikonočni ponedeljek","ponedeljek","da","9","4","2012"
"27.04.2012","dan boja proti okupatorju","petek","da","27","4","2012"
"1.05.2012","praznik dela","torek","da","1","5","2012"
"2.05.2012","praznik dela","sreda","da","2","5","2012"
"27.05.2012","binkoštna nedelja","nedelja","da","27","5","2012"
"8.06.2012","dan Primoža Trubarja","petek","ne","8","6","2012"
"25.06.2012","dan državnosti","ponedeljek","da","25","6","2012"
"15.08.2012","Marijino vnebovzetje","sreda","da","15","8","2012"
"17.08.2012","združitev prekmurskih Slovencev z matičnim narodom","petek","ne","17","8","2012"
"15.09.2012","vrnitev Primorske k matični domovini","sobota","ne","15","9","2012"
"31.10.2012","dan reformacije","sreda","da","31","10","2012"
"1.11.2012","dan spomina na mrtve","četrtek","da","1","11","2012"
"23.11.2012","dan Rudolfa Maistra","petek","ne","23","11","2012"
"25.12.2012","božič","torek","da","25","12","2012"
"26.12.2012","dan samostojnosti in enotnosti","sreda","da","26","12","2012"
